"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",1114.441,"B"
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",1163.861,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",1265.261,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",1317.159,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",1418.256,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",1528.818,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",1557.454,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",1601.023,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",1703.273,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",1828.009,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",1872.684,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",1727.88,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",1621.528,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",1697.11,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",1713.921,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1753.137,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1846.427,
"PRT","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1924.844,"P"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",521.681,"D"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",539.111,"D"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",529.994,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",537.852,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",589.087,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",652.631,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",677.497,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",763.775,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",825.375,"B"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",905.98,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",1054.373,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",1243.832,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",1348.076,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",1401.65,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",1414.019,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",1468.084,"B"
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",1558.37,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",1603.258,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",1616.195,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",1752.635,
"SVK","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",1826.88,"E"
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",279.411,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",306.324,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",335.998,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",390.368,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",380.986,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",384.784,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",396.22,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",432.988,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",520.124,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",568.735,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",651.87,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",698.578,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",760.547,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",792.805,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",808.455,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",823.4,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",863.038,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",896.685,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",945.69,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",988.841,"B"
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",1047.199,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2001",1104.764,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2002",1177.422,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2003",1345.476,"B"
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2004",1428.369,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2005",1528.36,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2006",1732.087,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2007",1857.464,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2008",2042.504,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2009",2194.842,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2010",2155.881,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2011",2151.163,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2012",2095.478,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2013",2089.988,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2014",2141.562,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2015",2263.563,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2016",2320.021,
"ESP","HEALTHEXP","COMPULSORY","USD_CAP","A","2017",2385.688,"E"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1980",798.471,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1981",880.313,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1982",953.345,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1983",996.927,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1984",1049.77,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1985",1032.082,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1986",1045.749,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1987",1117.634,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1988",1161.691,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1989",1243.363,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1990",1160.908,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1991",1150.041,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1992",1345.72,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1993",1387.467,"B"
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1994",1387.272,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1995",1439.567,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1996",1542.794,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1997",1537.612,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1998",1617.849,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","1999",1728.215,
"SWE","HEALTHEXP","COMPULSORY","USD_CAP","A","2000",1856.212,
