entity,year,percent_gdp,gdp,education_spend
Ireland,1982,5.383080005645749,17731.1,954.4792988810534
Ireland,1983,5.440030097961429,17566.64,955.6305032005315
Ireland,1984,5.2753801345825195,18201.69,960.208338418293
Ireland,1985,5.242090225219731,18705.02,980.5340250453957
Ireland,1986,5.29486989974976,18622.27,986.0249688801298
Ireland,1987,5.52220010757446,19493.95,1076.4949278705117
Ireland,1988,5.0101599693298295,20570.88,1030.633995098876
Ireland,1989,4.70738983154297,21868.47,1029.434133094025
Ireland,1990,4.5950598716735795,23753.77,1091.4999532796373
Ireland,1991,4.77694988250732,24057.35,1149.2075525593746
Ireland,1992,4.999639987945559,24673.05,1233.5636740458017
Ireland,1993,5.10943984985352,25191.62,1287.1506711036693
Ireland,1994,5.1825098991394,26514.21,1374.1015579286086
Ireland,1995,4.86579990386963,28921.12,1407.2438291580202
Ireland,1996,4.748290061950679,30988.53,1471.4252903346048
Ireland,1998,4.29312992095947,36168.92,1552.7787266078938
Ireland,1999,4.14085006713867,39512.77,1636.1645630733483
Ireland,2000,4.13662004470825,42753.97,1768.569292928552
Ireland,2001,4.09192991256714,44645.34,1826.856022027302
Ireland,2002,4.10618019104004,46732.96,1918.9395462066655
Ireland,2003,4.20553016662598,47359.43,1991.7151153921143
Ireland,2004,4.48631000518799,49424.62,2217.341672086144
Ireland,2005,4.52211999893188,51045.44,2308.336050782774
Ireland,2006,4.545470237731929,52490.99,2385.962327940843
Ireland,2007,4.7122502326965305,53838.71,2537.0147372558104
Ireland,2008,5.44451999664307,50600.92,2754.9772078853625
Ireland,2009,6.13522005081177,47603.38,2920.57211462412
Ireland,2010,6.0434098243713406,48011.1,2901.5075341887487
Ireland,2011,5.82037019729614,48935.46,2848.2249297497738
Ireland,2012,5.75110006332397,48424.39,2784.9351239542466
Ireland,2013,5.31576013565063,48661.98,2586.7541340582825
Ireland,2014,4.888440132141111,52095.35,2546.649996379374
Israel,1980,7.14989995956421,18990.93,1357.8324963908674
Israel,1981,7.09483003616333,19520.05,1384.9143704741
Israel,1982,6.6662502288818395,19441.41,1296.0130386228568
Israel,1983,7.014470100402829,19636.79,1377.4167632288927
Israel,1984,7.00283002853394,19720.87,1381.0190062481413
Israel,1985,8.021670341491701,20113.46,1613.4354554677966
Israel,1986,6.13041019439697,20244.81,1241.0898960762972
Israel,1987,5.52558994293213,21193.64,1171.073640381241
Israel,1988,4.51100015640259,21520.05,970.7694891579155
Israel,1989,5.70964002609253,21385.93,1221.0596192321302
Israel,1990,5.42505979537964,22301.6,1209.8751353263856
Israel,1991,5.43766021728516,22809.65,1240.3112637519846
Israel,1992,5.58196020126343,23457.36,1309.3804994670875
Israel,1993,5.95787000656128,23423.06,1395.5154663588526
Israel,1994,6.440680027008059,24088.05,1551.4342252457147
Israel,1998,6.6523299217224094,26777.78,1781.346271312999
Israel,1999,6.41908979415894,27037.31,1735.5492068251147
Israel,2000,6.11819982528687,28504.91,1743.9873538181794
Israel,2001,6.37935018539429,27885.97,1778.943678893996
Israel,2002,6.4692897796630895,27410.79,1773.2834359949122
Israel,2003,6.354589939117429,27098.56,1722.0023674057
Israel,2004,5.945819854736331,27797.38,1652.782139136506
Israel,2005,5.76243019104004,28409.68,1637.0879774978641
Israel,2006,5.7630300521850595,29346.31,1691.2366645073894
Israel,2007,5.50995016098022,30483.54,1679.62786130247
Israel,2008,5.542230129241941,30835.76,1708.9887813007344
Israel,2009,5.4958400726318395,30698.27,1687.1278242647181
Israel,2010,5.5444598197937,31705.74,1757.9120148682591
Israel,2011,5.56352996826172,32568.43,1811.9543632423404
Israel,2012,5.66922998428345,32590.91,1847.6536418708333
Israel,2013,5.8430900573730495,33322.5,1947.0636843681343
Israel,2014,5.73908996582031,33876.08,1944.1787080932609
Japan,1980,5.0949602127075195,25848.44,1316.9677336055756
Japan,1981,5.09062004089355,26743.98,1361.4344056125628
Japan,1982,5.06051015853882,27441.66,1388.6879919716841
Japan,1983,4.84400987625122,28214.33,1366.7049317181109
Japan,1987,5.60708999633789,32800.44,1839.1501899948119
Japan,1988,5.596980094909671,34876.94,1952.055389513589
Japan,1989,5.404170036315921,36424.37,1968.4348894568454
Japan,1993,3.43869996070862,39122.72,1345.3129572681435
Japan,1994,3.62556004524231,39413.79,1428.970622555709
Japan,1995,3.46572995185852,40403.93,1400.29110373795
Japan,1998,3.35602998733521,41329.64,1387.035112057688
Japan,1999,3.43330001831055,41135.49,1412.3047857021343
Japan,2000,3.51617002487183,42191.28,1483.5171404697435
Japan,2001,3.45707011222839,42251.74,1460.6722754364475
Japan,2002,3.4653699398040803,42214.32,1462.8823555727017
Japan,2003,3.52368998527527,42798.68,1508.09280099001
Japan,2004,3.483069896698,43693.78,1521.8848979094514
Japan,2005,3.3686199188232404,44412.75,1496.0967429971686
Japan,2006,3.3290901184082,45039.11,1499.3925604289993
Japan,2007,3.3309400081634504,45765.7,1524.42801131606
Japan,2008,3.3191499710082994,45262.16,1502.3189705177303
Japan,2010,3.63949990272522,44678.0,1626.055766539574
Japan,2011,3.6425800323486297,44664.8,1626.9510862884508
Japan,2012,3.6922600269317596,45368.7,1675.130374838589
Japan,2013,3.66538000106812,46318.02,1697.7314419707318
Japan,2014,3.5905900001525897,46546.33,1671.2878704180248
Netherlands,1980,5.96897983551025,30064.19,1794.525438809489
Netherlands,1981,5.823699951171879,29614.3,1724.6479746398938
Netherlands,1982,5.768630027771,29114.75,1679.5222110104573
Netherlands,1983,5.571899890899661,29609.2,1649.7949824962625
Netherlands,1984,5.1559100151062,30391.48,1566.957361058998
Netherlands,1985,5.54363012313843,31023.37,1719.8208845326908
Netherlands,1986,5.6334400177002,31711.42,1786.4438244609846
Netherlands,1987,5.9741702079772905,32117.65,1918.7630778024184
Netherlands,1988,5.542190074920651,33006.58,1829.2874008307447
Netherlands,1990,5.29638004302979,35449.24,1877.5264727657332
Netherlands,1991,5.22838020324707,36036.26,1884.1126838306427
Netherlands,1993,4.81809997558594,36602.53,1763.5464889938364
Netherlands,1994,4.72352981567383,37422.42,1767.6591664466864
Netherlands,1995,4.638070106506349,38395.41,1780.8060334805498
Netherlands,1996,4.54243993759155,39588.54,1798.285651669406
Netherlands,1998,4.5986499786377,42687.64,1963.055147740938
Netherlands,1999,4.55720996856689,44552.63,2030.3568956187228
Netherlands,2000,4.6255002021789595,46119.65,2133.2645039942286
Netherlands,2001,4.7507700920105,46757.05,2221.3199473063955
Netherlands,2002,4.87038993835449,46519.48,2265.6800732948295
Netherlands,2003,5.1014900207519505,46446.91,2369.4844785976397
Netherlands,2004,5.11464023590088,47245.23,2416.4235431239135
Netherlands,2005,5.15879011154175,48168.89,2484.931934159423
Netherlands,2006,5.09046983718872,49798.57,2534.981185201311
